TOTEMPLOYEE,TOTVOLUNTEERS,TOTALREVPRIOR,TOTALREVCURRENT,SALARIESCURRENT
0,,2082365,868636,0
,,,127648,0
3,52,369015,341257,183511
,,,36103,0
,,,26866,0
,,,13845,0
4,100,395400,368969,131692
,,,47189,0
,,,53994,0
,,,48444,21419
2,,278069,382495,36310
,,,105616,0
0,,44086,65457,0
0,0,7891,12637,0
35,100,1094925,1037694,618714
141,1,1694893,3238988,1992759
,,,114420,23400
0,0,305850,348517,7666
5,125,1280318,1314070,222774
,,,14112,0
,,,145001,81881
,,,75073,0
,,,79301,0
0,20,55687,71515,0
2,3,634271,664127,0
0,,88885,45936,0
0,,425749,635427,0
0,,298423,318511,0
14,250,2076673,2085524,489212
2,,241555,1139436,172640
,,,80449,14928
,,,101929,0
20,0,305304,440252,134719
25,,1238976,1467709,515413
,,,50107,0
,,,157690,0
,,,78115,0
1,,87477,89277,24098
0,,0,-4152,0
0,8,311754,352023,60627
,,,136420,119776
0,0,36057,28260,0
,,,79346,0
3,150,-779938,619896,237794
16,0,4516033,4422934,1335754
50,0,1457202,1357346,941763
,,,69332,7000
0,,66525,109803,0
,,,6067,0
,,,20988,0
,,,68066,0
,,,69745,0
0,,116340,99146,0
0,0,62145,61144,0
0,250,208140,185485,0
0,36,49874,45391,0
,,,165811,67091
0,,181937,123800,48000
0,,68417,105530,48655
0,9,325577,326351,54287
0,814,601507,671175,0
0,100,73801,85210,0
99,1835,2735837,3356944,1613550
0,0,50348,43774,0
,,,19196,0
,,,74373,0
0,80,449582,377547,0
9,0,0,262288,87748
,,,144692,0
,,,57977,0
0,,46756,36085,0
7,0,1554975,1773782,607559
6,1927,748800,671881,427563
,,,44207,0
,,,171452,0
0,0,239289,248668,63948
0,17,7155,6176,0
,,,93914,0
,,,3812,0
127,,4077450,4245404,2226835
0,15,1244385,3413663,0
,,,38563,0
,,,122345,0
,,,34588,0
,,,0,0
,,,15782,0
,,,14234,0
13,20,239802,249201,203691
,,,197001,2453
,,,85746,59564
,,,3169,0
,,,74492,0
2,0,38604,41954,19147
0,100,436870,569967,0
28,0,344582,491996,172064
,,,72205,10000
,,,158683,8000
,,,13761,0
21,130,470788,556786,221452
7,75,486020,272876,179475
0,10,184534,108099,0
,,,118211,0
0,,223938,266274,0
,,,125640,52749
0,3,537994,580874,0
0,0,51394,57076,0
0,0,151986,156597,52955
0,,394961,385164,79417
,,,23564,0
1,,7693,34222,11787
,,,100573,0
278,197,3519959,3372265,2299938
,,,39100,11119
3,30,1520559,1047658,26460
,,,135068,51350
,,,61388,0
,,,1419,0
0,20,294156,174423,7264
0,0,31941,26922,0
3,0,133854,271178,147564
37,0,1837128,2257956,1462666
26,0,757810,775358,360938
,,,12746,0
,,,20596,20000
0,5,184126,166560,0
2,,198588,240200,103148
,,,76726,0
0,0,39756,38278,0
1,20,278108,196047,59793
0,0,199700,208888,44169
,,,80635,0
17,425,753382,742876,633517
0,7,79199,79099,0
,,,51709,0
0,,2597354,14741859,0
6,145,1330803,1693124,534637
30,0,3585551,2875757,1576740
4,2,132164,676388,361582
0,,32215,2080408,0
56,0,9941627,7987953,1740478
2,,1091758,1046671,129333
,,,57940,84387
,,,66646,0
0,15,20136,11439,0
,,,14164,0
3,50,2107864,1644142,316810
0,,0,81422,0
1,0,10801,11760,1306
,,,3826,64247
0,,132414,160497,0
3,0,949946,892209,324693
,,,90318,0
8,3,20106,1509064,507579
,,,105335,18000
,,,181675,0
,,,42426,0
,,,46835,0
,,,107106,0
8,12,1237048,1099810,357492
5,18,3729101,2202937,379047
68,90,21592790,24233684,10014682
2,5,227241,329030,159592
3,10,461086,560264,234824
,,,31055,0
,,,49900,0
,,,75105,0
,,,0,0
0,20,57517,70752,0
0,,86556,219695,0
0,20,198618,239439,0
,,,37702,0
6,68,1124093,1103389,441268
0,,0,0,0
0,0,50003,258762,0
,,,105813,0
5,4,199979,810358,317186
,,,84330,52875
0,100,665001,601162,144516
21,11,5227693,5403348,3059091
30,,428436,442829,382676
0,,553012,540208,0
,,,139532,0
0,4,533947,713011,0
,,,34559,0
0,0,238526,238526,223634
0,0,3376,3297,0
0,7,169051,274788,111337
